sr,productName,wPrice,priceType,rPrice,Material
401,Knife Dessert,210,PP,320,Brass
402,Pakkad,480,PP,640,Brass
403,Wooden Handle,420,PP,530,Brass
404,Handle,530,PP,640,Brass
405,Serving Spoon Sheet Small,1800,PP,380,Brass
406,Serving Spoon Sheet Medium,1800,PP,430,Brass
407,Serving Spoon Sheet Big,1800,PP,480,Brass
408,Full Hammered Serving Spoon S,370,PP,420,Brass
409,Full Hammered Serving Spoon M,420,PP,470,Brass
410,Full Hammered Serving Spoon L,480,PP,590,Brass
411,Spoon Fork Matte Coffee,60,PP,70,Brass
412,Spoon Fork Matte Tea,80,PP,100,Brass
413,Spoon Fork Matte Baby,100,PP,130,Brass
414,Spoon Fork Matte Dessert,110,PP,150,Brass
415,Handmade Spoon Set,4770,PP,5300,Brass
416,Wooden Handle SS Palta 15 inch,170,PP,190,Brass
417,Wooden Handle SS Palta 20 inch,190,PP,210,Brass
418,Wooden Handle SS Palta 25 inch,210,PP,230,Brass
419,Wooden Handle SS Palta 30 inch,230,PP,260,Brass
420,Wooden Handle SS Palta 35 inch,270,PP,320,Brass
421,SS Palta 30-60,420,PP,530,Brass
422,SS Dabbu 4,170,PP,190,Brass
423,SS Dabbu 4.5,180,PP,210,Brass
424,SS Dabbu 5,190,PP,230,Brass
425,SS Dabbu 6,270,PP,320,Brass
426,Donga Deep Hammered,1910,PP,2340,Brass
427,Donga Flat Hammered,1910,PP,2340,Brass
428,Donga 1,1910,PP,2340,Copper
429,Donga 2,2120,PP,2500,Copper
430,Donga 3,2330,PP,2800,Copper
431,Donga 4,2540,PP,3200,Copper
432,Dessert Donga,1530,KG,1700,Brass
433,Casting Wati Etched Hammered,1350,KG,1600,Brass
434,Sheet Wati Etched Hammered,1730,KG,2040,Brass
435,Arabi Katora 1,280,PP,320,Brass
436,Arabi Katora 2,320,PP,370,Brass
437,Arabi Katora 3,370,PP,420,Brass
438,Arabi Katora 4,420,PP,530,Brass
439,Arabi Katora 5,530,PP,640,Brass
440,Arabi Katora 6,640,PP,750,Brass
441,Arabi Katora 7,740,PP,900,Brass
442,Katora / Wati,2100,KG,2340,Copper
443,Oval Dabba,1630,KG,1900,Brass
444,Saunf Pot,530,PP,640,Brass
445,Pickle Pot,690,PP,790,Brass
446,Triangle Masala Box,2970,PP,3400,Brass
447,Checked Dabba set of 3,1900,PP,2200,Brass
448,Maharani Patili,1730,KG,2040,Brass
449,Thali Set Sanskriti Matte,2300,PP,2700,Brass
450,Premium Roti Box Coloured,1590,PP,1900,Brass
451,Unbreakable Set Plain,,PP,,Kansa
452,Unbreakable Set Hammered,9500,PP,9500,Kansa
453,Checked Dabba 3 x 3,2100,PP,2400,Brass
454,Oil Dispenser Jar,1330,PP,1600,Brass
455,Laddoo Box Coloured (8),480,PP,690,Brass
456,Laddoo Box Coloured (9),580,PP,790,Brass
457,Laddoo Box Coloured (10),690,PP,900,Brass
458,Plain Lota (0),1380,KG,1600,Brass
459,Hammered Lota 10,740,PP,840,Copper
460,Satari Lota,2500,PP,2900,Kansa
461,Baby Set,3500,PP,4000,Kansa
462,Donga (4),7400,PP,8500,Kansa
463,Donga (5),8000,PP,9200,Kansa
464,Donga (6),10400,PP,12000,Kansa
465,Handmade Double Polished,4200,KG,4800,Kansa
466,Kadhai / Saucepan / Frypan,4000,KG,4600,Kansa
